Word,SUBTLWF,LgSUBTLWF,MorphSp,POS,
won't,NULL,NULL,{won't},encl,
woo,6.73,2.54,{^woo^},VB|NN,
wood,27,3.14,{^wood^},NN,
woodbine,0.06,0.6,{^woodbine^},NN,
woodblock,0.02,0.3,{^wood^}{^block^},NN,
woodcarver,0.04,0.48,{^wood^}{^carve^}>er>,NN,
woodcock,0.08,0.7,{^wood^}{^cock^},NN,
woodcraft,0.02,0.3,{^wood^}{^craft^},NN,
woodcut,NULL,NULL,{^wood^}{^cut^},NN,
woodcutter,0.24,1.11,{^wood^}{^cut^}>er>,NN,
woodcutters,0.02,0.3,{^wood^}{^cut^}>er>>s>,NN,
wooded,0.33,1.26,{^wood^}>ed>,JJ,
wooden,7.2,2.57,{^wood^}>en>,JJ,
woodgraining,NULL,NULL,{^wood^}{^grain^}>ing>,VB,
woodland,1.12,1.76,{^wood^}>land>,JJ|NN,
woodman,0.35,1.28,{^wood^}{^man^},NN,
woodpecker,0.98,1.71,{^wood^}{^peck^}>er>,NN,
woodpile,0.22,1.08,{^wood^}{^pile^},NN,
Woodrow,0.35,1.28,{^woodrow^},NN,
woods,29.06,3.17,{^wood^}>s>,NN,
woodshed,0.43,1.36,{^wood^}{^shed^},NN,
woodsman,0.45,1.38,{^wood^}>s>{^man^},NN,
Woodward,2.12,2.04,{^wood^}>ward>,NN,
woodwind,0.29,1.2,{^wood^}{^wind^},NN,
woodwork,0.84,1.64,{^wood^}{^work^},NN|VB,
woodworm,0.02,0.3,{^wood^}{^worm^},NN,
woody,8.49,2.64,{^wood^}>y>,JJ|NN,
woodyard,NULL,NULL,{^wood^}{^yard^},NN,
woodworking,0.1,0.78,{^wood^}{^work^}>ing>,NN|VB,
wooed,0.31,1.23,{^woo^}>ed>,VB,
woof,2.76,2.15,{^woof^},NN|VB,
wool,3.16,2.21,{^wool^},NN,
woolen,0.57,1.48,{^wool^}>en>,JJ,
woollen,0.06,0.6,{^wool^}>en>,JJ,
woolly,0.47,1.4,{^wool^}>y>,JJ|NN,
woolworkers,NULL,NULL,{^wool^}{^work^}>er>>s>,NN,
Woolworth's,NULL,NULL,{^woolworth^}>'s>,NULL,
woozy,0.84,1.64,{^woozy^},JJ,
Worcester,0.51,1.43,{^worcester^},NN,
word,235.55,4.08,{^word^},NN,
worded,0.27,1.18,{^word^}>ed>,VB,
wording,0.27,1.18,{^word^}>ing>,NN|VB,
wordless,0.04,0.48,{^word^}>less>,JJ,
wordplay,0.18,1,{^word^}{^play^},NN,
words,122.02,3.79,{^word^}>s>,NN,
Wordsworth,NULL,NULL,{^wordsworth^},NN,
wordy,0.16,0.95,{^word^}>y>,JJ,
wore,21.2,3.03,{^wore^},VB,
work,798.02,4.61,{^work^},NN|VB,
workable,0.33,1.26,{^work^}>able>,JJ,
workbag,NULL,NULL,{^work^}{^bag^},NN,
workbasket,NULL,NULL,{^work^}{^basket^},NN,
workbench,0.2,1.04,{^work^}{^bench^},NN,
workbook,0.12,0.85,{^work^}{^book^},NN,
workday,0.25,1.15,{^work^}{^day^},NN,
worked,115.24,3.77,{^work^}>ed>,VB,
worker,10.94,2.75,{^work^}>er>,NN,
workers,11.67,2.78,{^work^}>er>>s>,NN,
worker's,NULL,NULL,{^work^}>er>>'s>,encl,
workhorse,0.1,0.78,{^work^}{^horse^},NN,
workhouse,0.31,1.23,{^work^}{^house^},NN,
working,250.49,4.11,{^work^}>ing>,VB|NN|JJ,
workingmen,0.04,0.48,{^work^}>ing>-{^men^},NN,
workings,0.82,1.63,{^work^}>ing>>s>,NN,
workman,0.78,1.61,{^work^}{^man^},NN,
workman's,NULL,NULL,{^work^}{^man^}>'s>,encl,
workmanship,0.55,1.46,{^work^}{^man^}>ship>,NN,
workmen,0.98,1.71,{^work^}{^men^},NN,
workout,2.76,2.15,{^work^}{^out^},NN,
workouts,0.24,1.11,{^work^}{^out^}>s>,NN,
workpeople,NULL,NULL,{^work^}{^people^},NN,
workpiece,NULL,NULL,{^work^}{^piece^},NN,
workroom,0.22,1.08,{^work^}{^room^},NN,
works,105.04,3.73,{^work^}>s>,NN|VB,
work's,NULL,NULL,{^work^}>'s>,encl,
worksheet,0.1,0.78,{^work^}{^sheet^},NN,
workshop,2.8,2.16,{^work^}{^shop^},NN,
workshops,0.29,1.2,{^work^}{^shop^}>s>,NN,
